,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2020-07-14,260.54,267.05,260.1,266.59,261.632239384,7530273,0.0,1.0
2020-07-15,270.47,270.54,267.05,268.91,263.909094462,5178204,0.0,1.0
2020-07-16,267.16,268.93,266.02,267.47,262.495874069,2464607,0.0,1.0
2020-07-17,267.95,268.07,266.17,266.74,261.986751608,3411506,0.2112,1.0
2020-07-20,266.39,267.64,265.03,266.82,262.065326026,4007759,0.0,1.0
2020-07-21,268.82,270.27,267.65,268.34,263.558239958,3167537,0.0,1.0
2020-07-22,267.82,270.35,267.77,269.98,265.169015517,2039285,0.0,1.0
2020-07-23,269.64,269.78,265.62,266.69,261.937642597,2838003,0.0,1.0
2020-07-24,265.15,266.3399,264.05,264.69,259.973282159,2637694,0.0,1.0
2020-07-27,264.77,266.31,264.35,265.95,261.210829235,2637853,0.0,1.0
2020-07-28,264.92,265.61,263.63,263.93,259.226825193,1989345,0.0,1.0
2020-07-29,264.19,266.07,263.8,265.5,260.768848136,1917868,0.0,1.0
2020-07-30,262.48,263.82,259.941,263.28,258.58840805,3055612,0.0,1.0
2020-07-31,263.76,264.49,260.18,264.35,259.639340885,3317252,0.0,1.0
2020-08-03,265.67,267.15,265.35,266.72,261.967108004,2570812,0.0,1.0
2020-08-04,266.29,268.42,266.03,268.41,263.626992574,1909762,0.0,1.0
2020-08-05,269.99,272.27,269.9,272.0,267.15301956,2133451,0.0,1.0
2020-08-06,271.63,274.03,271.57,273.9,269.019161976,1948108,0.0,1.0
2020-08-07,273.2299,274.82,272.475,274.62,269.726331733,2311296,0.0,1.0
2020-08-10,275.5099,278.28,275.48,278.14,273.183606104,2313886,0.0,1.0
2020-08-11,280.9,281.78,276.47,277.19,272.250534896,4546407,0.0,1.0
2020-08-12,279.84,280.74,278.72,280.04,275.04974852,2650851,0.0,1.0
2020-08-13,279.13,280.22,278.2262,279.42,274.440796785,1668346,0.0,1.0
2020-08-14,278.23,280.1599,277.9,279.8,274.814025268,2247041,0.0,1.0
2020-08-17,280.14,280.25,278.5,278.95,273.979172082,2421337,0.0,1.0
2020-08-18,279.1,279.37,277.11,278.2,273.242536917,1678320,0.0,1.0
2020-08-19,278.68,279.74,276.97,277.43,272.486258149,3374281,0.0,1.0
2020-08-20,276.04,278.34,275.87,277.87,272.918417445,2063727,0.0,1.0
2020-08-21,277.04,279.61,276.86,279.29,274.905859118,2601159,0.6035,1.0
