,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2020-06-10,245.05,247.82,244.51,246.22,244.134916693,58084410,0.0,1.0
2020-06-11,242.16,243.59,233.96,234.02,232.038230868,72919442,0.0,1.0
2020-06-12,239.14,240.4,231.74,235.88,233.882479691,72034787,0.0,1.0
2020-06-15,232.44,239.45,231.47,238.75,236.728175454,45307371,0.0,1.0
2020-06-16,243.78,244.39,239.1,242.85,240.793455117,48890095,0.0,1.0
2020-06-17,244.4,245.5,242.73,243.62,241.556934468,34749268,0.0,1.0
2020-06-18,243.29,244.53,242.49,244.28,242.21134534,30578648,0.0,1.0
2020-06-19,246.73,247.0,242.45,244.24,242.171684075,49422112,0.0,1.0
2020-06-22,243.68,246.87,243.38,246.74,245.071180345,24068676,0.4243,1.0
2020-06-23,248.39,251.15,247.82,248.84,247.156977049,32767370,0.0,1.0
2020-06-24,248.06,249.33,242.16,243.71,242.061673672,46032376,0.0,1.0
2020-06-25,243.8,246.34,241.14,246.03,244.365982412,36940811,0.0,1.0
2020-06-26,245.78,245.96,239.68,240.22,238.595278197,52824554,0.0,1.0
2020-06-29,239.98,242.85,237.35,242.84,241.197557895,34377800,0.0,1.0
2020-06-30,242.77,248.16,242.58,247.6,245.925363757,38909219,0.0,1.0
2020-07-01,247.64,251.52,247.08,250.49,248.795817316,34685690,0.0,1.0
2020-07-02,253.02,254.27,251.71,252.19,250.48431941,32023478,0.0,1.0
2020-07-06,255.45,258.93,255.43,258.39,256.642385869,34587050,0.0,1.0
2020-07-07,258.13,260.88,256.3,256.61,254.874424853,36695837,0.0,1.0
2020-07-08,257.98,260.02,256.5,259.99,258.23156431,30452321,0.0,1.0
2020-07-09,261.97,262.87,257.63,262.18,260.406752301,40609204,0.0,1.0
2020-07-10,262.03,264.23,259.26,263.97,262.184645682,32879879,0.0,1.0
2020-07-13,266.91,269.79,257.69,258.54,256.791371348,64127311,0.0,1.0
2020-07-14,255.93,260.79,252.76,260.37,258.60899419,72228142,0.0,1.0
2020-07-15,261.83,262.69,257.49,260.9,259.135409548,54472875,0.0,1.0
2020-07-16,258.02,259.78,255.62,259.12,257.367448533,47590557,0.0,1.0
2020-07-17,259.59,260.31,257.17,259.42,257.66541949,36287018,0.0,1.0
2020-07-20,260.08,267.43,258.79,266.78,264.975640319,40627842,0.0,1.0
2020-07-21,268.4,268.41,263.13,264.0,262.214442778,43438515,0.0,1.0
2020-07-22,264.46,265.89,262.55,264.93,263.138152747,29865519,0.0,1.0
2020-07-23,264.55,265.24,256.55,258.01,256.264955989,51363538,0.0,1.0
2020-07-24,254.12,256.93,251.32,255.56,253.831526501,54054536,0.0,1.0
2020-07-27,257.36,260.52,256.445,260.12,258.360685058,36445741,0.0,1.0
2020-07-28,259.33,259.85,256.51,256.81,255.073072158,31302390,0.0,1.0
2020-07-29,258.33,260.66,257.91,259.77,258.013052274,27556884,0.0,1.0
2020-07-30,257.78,261.71,256.55,261.13,259.363853949,41774456,0.0,1.0
2020-07-31,265.83,265.95,260.85,265.79,263.992336159,53756159,0.0,1.0
2020-08-03,268.05,270.15,267.87,269.38,267.558055286,32081566,0.0,1.0
2020-08-04,268.74,270.48,268.09,270.38,268.551291812,24911286,0.0,1.0
2020-08-05,270.83,271.52,269.96,271.05,269.216760284,21685921,0.0,1.0
2020-08-06,270.78,274.98,270.19,274.64,272.782479411,28048224,0.0,1.0
2020-08-07,274.04,274.8818,269.245,271.47,269.633919625,44969356,0.0,1.0
2020-08-10,271.74,271.98,266.67,270.31,268.481765255,35088373,0.0,1.0
2020-08-11,269.1,270.44,264.63,265.19,263.396394244,43104323,0.0,1.0
2020-08-12,267.37,272.84,267.37,271.86,270.02128187,38894272,0.0,1.0
2020-08-13,272.64,274.83,271.51,272.48,270.637088516,31895717,0.0,1.0
2020-08-14,273.01,273.4,270.72,272.16,270.319252827,30799494,0.0,1.0
2020-08-17,273.91,275.84,272.1978,275.32,273.457880249,24659226,0.0,1.0
2020-08-18,276.41,278.465,274.91,277.97,276.089957042,23529498,0.0,1.0
2020-08-19,277.93,279.02,275.57,276.1,274.232604739,31999359,0.0,1.0
2020-08-20,275.3,280.43,274.86,279.93,278.036700632,27723379,0.0,1.0
2020-08-21,280.07,282.34,279.461,281.87,279.963579492,34748934,0.0,1.0
2020-08-24,285.06,286.0,281.27,283.63,281.711675777,36418533,0.0,1.0
2020-08-25,282.78,286.06,282.37,285.86,283.926593229,34866586,0.0,1.0
2020-08-26,287.11,292.22,285.829,291.96,289.985336036,42216690,0.0,1.0
2020-08-27,293.08,293.851,288.705,291.05,289.081490797,49482715,0.0,1.0
2020-08-28,292.27,293.18,290.93,292.53,290.551480855,28021022,0.0,1.0
2020-08-31,293.16,296.745,292.62,294.88,292.885586691,36321027,0.0,1.0
2020-09-01,297.6,300.04,295.79,299.92,297.89149878,36395774,0.0,1.0
2020-09-02,303.26,303.5,296.89,302.76,300.712290513,50836767,0.0,1.0
2020-09-03,298.2,298.62,284.41,287.41,285.466109844,110083282,0.0,1.0
2020-09-04,285.76,288.93,271.8,283.58,281.662013951,123958978,0.0,1.0
2020-09-08,272.27,278.22,269.66,269.95,268.124200106,99568645,0.0,1.0
2020-09-09,275.54,280.045,273.0,277.88,276.000565754,64837872,0.0,1.0
2020-09-10,280.97,282.195,270.56,272.34,270.498035402,69667462,0.0,1.0
2020-09-11,274.33,275.22,266.9,270.45,268.620818369,71809014,0.0,1.0
2020-09-14,274.28,277.22,272.96,275.16,273.298962404,38525194,0.0,1.0
2020-09-15,278.9,280.45,275.1332,279.06,277.172584855,41849926,0.0,1.0
2020-09-16,279.77,280.36,274.25,274.61,272.752682315,42435626,0.0,1.0
2020-09-17,267.52,274.3955,266.68,270.32,268.49169762,81570844,0.0,1.0
2020-09-18,271.62,272.09,262.63,266.87,265.065031607,86251117,0.0,1.0
2020-09-21,262.52,267.65,260.11,267.51,266.086317132,57168570,0.3882,1.0
2020-09-22,270.05,273.08,266.54,272.48,271.029866891,41128886,0.0,1.0
2020-09-23,272.15,272.34,263.2502,264.16,262.754145765,48837270,0.0,1.0
2020-09-24,261.58,268.7,261.22,265.39,263.977599729,70631704,0.0,1.0
2020-09-25,265.82,272.395,264.2999,271.56,270.114763113,55242376,0.0,1.0
2020-09-28,276.615,277.2,271.674,277.2,275.724747146,58438286,0.0,1.0
2020-09-29,276.72,277.71,275.3719,275.95,274.481399621,27178921,0.0,1.0
2020-09-30,276.09,281.09,275.8717,277.84,276.361341078,49380802,0.0,1.0
2020-10-01,281.79,282.8794,279.84,282.25,280.747871147,50020223,0.0,1.0
2020-10-02,276.01,282.2412,273.44,274.31,272.850127668,75497391,0.0,1.0
2020-10-05,276.34,280.49,276.23,280.16,278.668994085,28184581,0.0,1.0
2020-10-06,279.29,281.19,274.25,275.16,273.695603985,49704236,0.0,1.0
2020-10-07,277.83,280.74,277.28,279.92,278.43027136,27539663,0.0,1.0
2020-10-08,282.32,282.47,280.31,281.41,279.91234161,25443287,0.0,1.0
2020-10-09,283.09,285.79,282.71,285.71,284.189457096,30201144,0.0,1.0
2020-10-12,290.6,297.46,289.47,294.53,292.962517232,79370657,0.0,1.0
2020-10-13,296.34,297.0496,293.11,294.52,292.952570452,64240031,0.0,1.0
2020-10-14,295.32,296.35,290.26,292.06,290.505662523,37181227,0.0,1.0
2020-10-15,287.25,290.71,286.54,290.1,288.556093604,42514177,0.0,1.0
2020-10-16,291.8,293.269,288.15,288.51,286.974555552,40570702,0.0,1.0
2020-10-19,290.49,291.48,282.79,283.8,282.289622078,36756754,0.0,1.0
2020-10-20,284.56,287.62,282.95,284.41,282.89637567,32195361,0.0,1.0
2020-10-21,284.67,287.32,283.69,284.19,282.677546506,29306137,0.0,1.0
2020-10-22,285.05,285.98,280.82,284.18,282.667599725,32196162,0.0,1.0
2020-10-23,284.79,284.91,281.7818,284.74,283.224619417,24658542,0.0,1.0
2020-10-26,282.32,285.3,276.76,280.47,278.977344271,38421094,0.0,1.0
2020-10-27,281.42,283.505,280.2,282.66,281.155689135,30559123,0.0,1.0
2020-10-28,278.13,278.6401,271.38,271.64,270.194337354,53413523,0.0,1.0
2020-10-29,273.04,279.49,272.52,276.39,274.919057949,43246302,0.0,1.0
2020-10-30,274.375,275.24,267.07,269.38,267.946365029,65935893,0.0,1.0
2020-11-02,271.73,273.52,266.97,269.98,268.543171841,39987409,0.0,1.0
2020-11-03,271.86,276.82,270.84,274.65,273.188318195,43604145,0.0,1.0
2020-11-04,283.56,288.77,281.87,286.91,285.38307072,75728206,0.0,1.0
2020-11-05,293.41,295.39,292.0,294.39,292.82326231,52054186,0.0,1.0
2020-11-06,293.58,295.36,289.83,294.61,293.042091474,40959764,0.0,1.0
2020-11-09,297.31,299.14,288.12,288.59,287.054129794,86537071,0.0,1.0
2020-11-10,285.26,286.6599,280.62,283.42,281.91164443,69024878,0.0,1.0
2020-11-11,285.92,290.25,283.38,289.76,288.217903077,36102931,0.0,1.0
2020-11-12,290.72,292.074,287.25,288.4,286.86514097,34516826,0.0,1.0
2020-11-13,290.01,291.57,287.8701,290.93,289.38167636,24880582,0.0,1.0
2020-11-16,290.68,293.51,289.99,293.2,291.639595466,30168361,0.0,1.0
